e	1	2	0
e	1	3	5
e	1	4	0
e	1	5	5
e	1	6	2
e	1	7	10
e	1	8	3
e	1	9	1
e	1	10	5
e	1	11	5
e	1	12	5
e	1	13	0
e	1	14	0
e	1	15	5
e	1	16	4
e	1	17	4
e	1	18	0
e	1	19	0
e	1	20	1
e	2	3	3
e	2	4	10
e	2	5	5
e	2	6	1
e	2	7	5
e	2	8	1
e	2	9	2
e	2	10	4
e	2	11	2
e	2	12	5
e	2	13	0
e	2	14	10
e	2	15	10
e	2	16	3
e	2	17	0
e	2	18	5
e	2	19	10
e	2	20	5
e	3	4	2
e	3	5	0
e	3	6	5
e	3	7	2
e	3	8	4
e	3	9	4
e	3	10	5
e	3	11	0
e	3	12	0
e	3	13	0
e	3	14	5
e	3	15	1
e	3	16	0
e	3	17	0
e	3	18	5
e	3	19	0
e	3	20	0
e	4	5	1
e	4	6	0
e	4	7	5
e	4	8	2
e	4	9	1
e	4	10	0
e	4	11	10
e	4	12	2
e	4	13	2
e	4	14	0
e	4	15	2
e	4	16	1
e	4	17	5
e	4	18	2
e	4	19	5
e	4	20	5
e	5	6	5
e	5	7	6
e	5	8	5
e	5	9	2
e	5	10	5
e	5	11	2
e	5	12	0
e	5	13	5
e	5	14	1
e	5	15	1
e	5	16	1
e	5	17	5
e	5	18	2
e	5	19	5
e	5	20	1
e	6	7	5
e	6	8	2
e	6	9	1
e	6	10	6
e	6	11	0
e	6	12	0
e	6	13	10
e	6	14	0
e	6	15	2
e	6	16	0
e	6	17	1
e	6	18	0
e	6	19	1
e	6	20	5
e	7	8	0
e	7	9	0
e	7	10	0
e	7	11	5
e	7	12	10
e	7	13	2
e	7	14	2
e	7	15	5
e	7	16	1
e	7	17	2
e	7	18	1
e	7	19	0
e	7	20	10
e	8	9	1
e	8	10	1
e	8	11	10
e	8	12	10
e	8	13	2
e	8	14	0
e	8	15	10
e	8	16	2
e	8	17	5
e	8	18	2
e	8	19	2
e	8	20	10
e	9	10	2
e	9	11	0
e	9	12	3
e	9	13	5
e	9	14	5
e	9	15	0
e	9	16	5
e	9	17	0
e	9	18	0
e	9	19	0
e	9	20	2
e	10	11	5
e	10	12	5
e	10	13	0
e	10	14	5
e	10	15	1
e	10	16	0
e	10	17	0
e	10	18	5
e	10	19	5
e	10	20	2
e	11	12	5
e	11	13	2
e	11	14	5
e	11	15	1
e	11	16	10
e	11	17	0
e	11	18	2
e	11	19	2
e	11	20	5
e	12	13	2
e	12	14	10
e	12	15	5
e	12	16	0
e	12	17	1
e	12	18	1
e	12	19	2
e	12	20	5
e	13	14	2
e	13	15	2
e	13	16	1
e	13	17	0
e	13	18	0
e	13	19	0
e	13	20	5
e	14	15	5
e	14	16	5
e	14	17	1
e	14	18	5
e	14	19	5
e	14	20	0
e	15	16	3
e	15	17	0
e	15	18	5
e	15	19	10
e	15	20	10
e	16	17	0
e	16	18	0
e	16	19	2
e	16	20	0
e	17	18	5
e	17	19	2
e	17	20	0
e	18	19	1
e	18	20	1
e	19	20	6
l 20
l 3
l 9
l 3
l 7
l 3
l 7
l 5
l 9
l 6
l 5
l 3
l 9
l 3
l 7
l 3
l 7
l 5
l 9
l 6
